Date,DeathMale,Deathfemale,DeathAge(1-10),DeathAge(11-20),DeathAge(21-30),DeathAge(31-40),DeathAge(41-50),DeathAge(51-60),DeathAge(60+)
"April 21, 2020",5,4,0,0,0,0,3,3,3
"April 22, 2020",7,3,0,0,2,0,3,2,3
"April 23, 2020",5,2,0,0,0,0,1,2,4
"April 24, 2020",4,0,0,0,0,0,0,4,0
"April 25, 2020",4,5,0,0,0,0,0,1,8
"April 26, 2020",3,2,1,0,0,0,0,3,1
"April 27, 2020",6,1,1,0,0,0,1,0,5
"April 28, 2020",3,0,0,0,0,0,0,0,3
"April 29, 2020",6,2,0,0,0,2,0,2,4
"April 30, 2020",3,2,0,0,0,0,3,0,2
"May 1, 2020",1,1,0,0,0,0,0,1,1
"May 2, 2020",3,2,0,0,0,1,2,1,1
"May 3, 2020",1,1,0,1,0,0,0,0,1
"May 4, 2020",5,0,0,0,0,1,0,1,3
"May 5, 2020",1,0,0,0,1,0,0,0,0
"May 6, 2020",2,1,0,0,0,0,1,0,2
"May 7, 2020",8,5,0,1,0,0,2,4,6
"May 8, 2020",5,2,0,0,0,0,0,2,5
"May 9, 2020",8,0,0,0,0,2,1,1,4
"May 10, 2020",10,4,0,0,0,1,4,3,6
"May 11, 2020",5,6,0,0,1,2,2,4,2
"May 12, 2020",7,4,0,0,0,0,0,3,8
"May 13, 2020",12,7,1,0,0,1,0,7,10
"May 14, 2020",11,3,0,0,1,1,5,5,2
"May 15, 2020",7,8,0,0,1,1,0,8,5
"May 16, 2020",16,0,0,0,0,1,5,6,4
"May 17, 2020",13,1,0,0,0,1,2,3,7
"May 18, 2020",17,4,0,0,0,2,6,8,5
"May 19, 2020",15,6,0,1,2,2,5,5,6
"May 20, 2020",13,3,1,0,1,1,1,5,7
"May 21, 2020",19,3,0,2,0,1,2,10,7
"May 22, 2020",19,5,0,0,3,3,4,5,9
"May 23, 2020",16,4,0,0,2,3,3,8,4
"May 24, 2020",23,5,0,0,0,3,3,13,9
"May 25, 2020",16,5,0,1,0,0,3,9,8
"May 26, 2020",14,7,1,1,0,2,5,7,5
"May 27, 2020",20,2,1,0,2,2,2,7,8
"May 28, 2020",11,4,0,0,0,2,0,5,8
"May 29, 2020",19,4,0,1,1,2,5,5,9
"May 30, 2020",25,3,0,0,0,4,4,9,11
"May 31, 2020",33,7,0,0,1,5,11,8,15
"June 1, 2020",19,3,0,0,1,0,8,4,9
"June 2, 2020",33,4,0,0,1,4,1,10,21
"June 3, 2020",28,9,0,0,1,3,5,12,16
"June 4, 2020",29,6,0,0,3,1,3,14,14
"June 5, 2020",23,7,0,0,0,3,7,11,9
"June 6, 2020",28,7,0,2,3,2,3,10,15
"June 7, 2020",35,7,0,0,1,7,9,7,18
